# VarAstro Metadata Begin
# ObservationId: 94300
# StarName: HAT-P-1
# RA: 22h 57m 47.00s (344.4458333333)
# DE: +38° 40' 30.00" (38.6749999993)
# ObserverName: Miguel Angel Alava
# Station: Sarriguren
# Latitude: 43
# Longitude: 358
# Instrument: Sc 203/2000 f10, Asi1600MM
# Filter: R
# JD: HJD
# Unit: Mag
# VarAstro Metadata End
FOTOMETR�A RELATIVA

VAR-1�
FECHA J HELIO         MAG      +/-
----------------------------------
2460539.36251    -0.00616  0.00296
2460539.36390    -0.00556  0.00292
2460539.36530    -0.00511  0.00293
2460539.36669    -0.00926  0.00291
2460539.36809    -0.00268  0.00291
2460539.36948    -0.00487  0.00290
2460539.37088    -0.01159  0.00289
2460539.37227    -0.00976  0.00289
2460539.37367    -0.00949  0.00287
2460539.37506    -0.00704  0.00288
2460539.37646    -0.00596  0.00284
2460539.37785    -0.00373  0.00284
2460539.38064    -0.00495  0.00283
2460539.38203    -0.00548  0.00281
2460539.38343    -0.00511  0.00280
2460539.38482    -0.00427  0.00280
2460539.38622    -0.00353  0.00281
2460539.38761    -0.00575  0.00281
2460539.38901    -0.00763  0.00281
2460539.39040    -0.00878  0.00281
2460539.39180    -0.00531  0.00282
2460539.39318    -0.00418  0.00282
2460539.39459    -0.00623  0.00282
2460539.39597    -0.00883  0.00280
2460539.39737    -0.00100  0.00280
2460539.39876    -0.00141  0.00280
2460539.40016    -0.00442  0.00279
2460539.40155    -0.00381  0.00280
2460539.40295     0.00144  0.00280
2460539.40434    -0.00466  0.00279
2460539.40574    -0.00714  0.00278
2460539.40713     0.00106  0.00279
2460539.40992    -0.00261  0.00280
2460539.41132    -0.00064  0.00281
2460539.41271    -0.00083  0.00279
2460539.41411     0.00244  0.00282
2460539.41550     0.00285  0.00282
2460539.41689     0.00313  0.00280
2460539.41829     0.00506  0.00280
2460539.41968     0.00624  0.00278
2460539.42108     0.01006  0.00280
2460539.42247     0.00334  0.00281
2460539.42387     0.00746  0.00284
2460539.42526     0.00992  0.00282
2460539.42666     0.01065  0.00288
2460539.42805     0.01303  0.00283
2460539.42945     0.01062  0.00281
2460539.43084     0.00918  0.00283
2460539.43224     0.00951  0.00285
2460539.43362     0.01210  0.00281
2460539.43503     0.00768  0.00281
2460539.43641     0.00461  0.00285
2460539.43781     0.01201  0.00283
2460539.43920     0.00418  0.00285
2460539.44060     0.00653  0.00284
2460539.44199     0.00610  0.00284
2460539.44339     0.01537  0.00285
2460539.44478     0.01153  0.00281
2460539.44617     0.01177  0.00280
2460539.44757     0.00751  0.00281
2460539.44896     0.00665  0.00280
2460539.45175     0.00889  0.00281
2460539.45315     0.00711  0.00281
2460539.45454     0.00832  0.00283
2460539.45594     0.00609  0.00281
2460539.45733     0.01177  0.00289
2460539.46012     0.00771  0.00280
2460539.46152     0.00797  0.00280
2460539.46291     0.00529  0.00283
2460539.46431     0.00745  0.00280
2460539.46570     0.01132  0.00284
2460539.46710     0.00483  0.00281
2460539.46849     0.00924  0.00283
2460539.46989     0.00663  0.00283
2460539.47128     0.00968  0.00282
2460539.47268     0.00910  0.00281
2460539.47406     0.01002  0.00281
2460539.47545     0.00680  0.00279
2460539.47685     0.00779  0.00280
2460539.47964     0.00518  0.00277
2460539.48103     0.00726  0.00279
2460539.48243     0.00428  0.00278
2460539.48382     0.00734  0.00279
2460539.48522     0.00223  0.00278
2460539.48661     0.00465  0.00279
2460539.48801     0.01104  0.00279
2460539.48940     0.00516  0.00279
2460539.49080     0.00180  0.00277
2460539.49219     0.00763  0.00278
2460539.49359     0.00139  0.00277
2460539.49498     0.00603  0.00282
2460539.49638     0.00241  0.00279
2460539.49777     0.00239  0.00276
2460539.49917    -0.00088  0.00276
2460539.50056    -0.00029  0.00276
2460539.50195     0.00102  0.00277
2460539.50335    -0.00128  0.00276
2460539.50474     0.00196  0.00278
2460539.50614    -0.00285  0.00278
2460539.50753     0.00151  0.00276
2460539.50893    -0.00391  0.00275
2460539.51031    -0.00625  0.00277
2460539.51171    -0.00962  0.00276
2460539.51310    -0.00476  0.00277
2460539.51450    -0.00524  0.00278
2460539.51589    -0.00906  0.00280
2460539.51729    -0.00768  0.00282
2460539.51868    -0.00609  0.00278
2460539.52008    -0.00492  0.00278
2460539.52147    -0.00718  0.00277
2460539.52287    -0.00837  0.00280
2460539.52426    -0.00576  0.00280
2460539.52566    -0.00626  0.00279
2460539.52705    -0.00879  0.00279
2460539.52846    -0.00771  0.00278
2460539.52985    -0.00873  0.00278
2460539.53125    -0.00600  0.00279
2460539.53404    -0.00603  0.00277
2460539.53822    -0.00778  0.00279
2460539.53961    -0.00956  0.00278
2460539.54101    -0.00950  0.00282
2460539.54380    -0.00819  0.00277
2460539.54519    -0.00913  0.00276
2460539.54659    -0.01042  0.00278
2460539.54797    -0.00988  0.00277
2460539.54938    -0.00767  0.00277
2460539.55216    -0.01063  0.00281
2460539.55355    -0.00618  0.00277
2460539.55495    -0.00567  0.00276
2460539.55634    -0.00667  0.00276
2460539.55774    -0.00651  0.00278
2460539.55913    -0.00870  0.00277

Observador: Miguel Angel Alava
FotoDif 3.109
