# VarAstro Metadata Begin
# ObservationId: 98589
# StarName: HAT-P-2
# RA: 16h 20m 36.37s (245.1515416617)
# DE: +41° 02' 53.40" (41.0481666663)
# ObserverName: Manfred Raetz
# Station: Privatsternwarte Herges-Hallenberg
# Latitude: 51
# Longitude: 11
# Instrument: SCT 280 / 1870 (C11 with Starizona reducer)+ CCD MII G2-1600
# Filter: Ic
# JD: GJD
# Unit: Flux
# VarAstro Metadata End
#JD_UTC(inputAverageOverSize=2)	rel_flux_T1_dfn(inputAverageOverSize=2)	rel_flux_err_T1_dfn(inputAverageOverSize=2)
2460443.370879	0.999428	0.000864
2460443.373359	1.000724	0.000866
2460443.375013	0.999849	0.000865
2460443.376115	1.000240	0.000866
2460443.377493	0.999886	0.000870
2460443.378871	0.999305	0.000869
2460443.381626	0.999674	0.000872
2460443.383280	0.999218	0.000871
2460443.384934	0.996522	0.000878
2460443.386036	0.997477	0.000874
2460443.387139	0.995624	0.000871
2460443.389343	0.995309	0.000872
2460443.391823	0.996312	0.000873
2460443.393201	0.995725	0.000871
2460443.394303	0.994110	0.000877
2460443.395957	0.995626	0.000870
2460443.397060	0.995123	0.000872
2460443.398713	0.995236	0.000876
2460443.399816	0.995775	0.000877
2460443.400918	0.995269	0.000876
2460443.402296	0.995180	0.000878
2460443.403674	0.995297	0.000874
2460443.405327	0.993861	0.000870
2460443.406981	0.993926	0.000875
2460443.408359	0.995451	0.000879
2460443.409737	0.994749	0.000877
2460443.410839	0.993974	0.000880
2460443.412493	0.993852	0.000870
2460443.413595	0.993280	0.000872
2460443.415249	0.994244	0.000871
2460443.417454	0.995066	0.000874
2460443.418557	0.994666	0.000872
2460443.419659	0.995144	0.000874
2460443.421037	0.995813	0.000878
2460443.422414	0.994182	0.000874
2460443.425170	0.994329	0.000872
2460443.426824	0.993700	0.000874
2460443.427926	0.994402	0.000874
2460443.429028	0.994065	0.000877
2460443.430407	0.994213	0.000875
2460443.432061	0.993182	0.000877
2460443.433439	0.993739	0.000875
2460443.434541	0.993701	0.000888
2460443.435644	0.993285	0.000871
2460443.436746	0.994215	0.000874
2460443.437848	0.994030	0.000870
2460443.439226	0.993533	0.000874
2460443.441155	0.995387	0.000878
2460443.442257	0.994288	0.000877
2460443.443360	0.992792	0.000879
2460443.444462	0.994156	0.000876
2460443.445565	0.994628	0.000875
2460443.446667	0.993922	0.000880
2460443.447769	0.993766	0.000880
2460443.448871	0.994912	0.000891
2460443.450525	0.992364	0.000874
2460443.451627	0.994304	0.000878
2460443.452730	0.993028	0.000880
2460443.453832	0.994429	0.000875
2460443.454935	0.995200	0.000875
2460443.456037	0.995349	0.000876
2460443.457139	0.994920	0.000877
2460443.458241	0.992788	0.000881
2460443.459895	0.994039	0.000879
2460443.460998	0.995264	0.000878
2460443.462100	0.995853	0.000878
2460443.463478	0.996611	0.000880
2460443.464855	0.994887	0.000878
2460443.465958	0.995469	0.000876
2460443.467061	0.993877	0.000876
2460443.468163	0.993777	0.000876
2460443.469265	0.994422	0.000880
2460443.470367	0.993529	0.000877
2460443.473123	0.996248	0.000877
2460443.475879	0.992495	0.000877
2460443.476981	0.993357	0.000880
2460443.478084	0.994982	0.000879
2460443.479186	0.994188	0.000876
2460443.480289	0.992373	0.000875
2460443.481391	0.994578	0.000878
2460443.482769	0.995589	0.000885
2460443.484423	0.996246	0.000893
2460443.486352	0.993735	0.000883
2460443.487730	0.995821	0.000881
2460443.489107	0.994559	0.000883
2460443.490761	0.993508	0.000887
2460443.491864	0.995890	0.000898
2460443.493518	0.993369	0.000887
2460443.494620	0.994754	0.000884
2460443.496274	0.995335	0.000893
2460443.498479	0.993998	0.000891
2460443.499582	0.994803	0.000883
2460443.500684	0.996136	0.000889
2460443.501787	0.995956	0.000890
2460443.502889	0.993322	0.000889
2460443.504267	0.996238	0.000890
2460443.506196	0.992763	0.000883
2460443.507849	0.994381	0.000885
2460443.509227	0.994375	0.000888
2460443.511157	0.994183	0.000889
2460443.512535	0.994841	0.000891
2460443.513914	0.994131	0.000889
2460443.515016	0.994190	0.000890
2460443.516118	0.994517	0.000883
2460443.517772	0.994774	0.000886
2460443.519425	0.994543	0.000883
2460443.520528	0.994104	0.000886
2460443.521630	0.993299	0.000879
2460443.522733	0.994199	0.000885
2460443.523835	0.994819	0.000882
2460443.525489	0.994856	0.000882
2460443.526591	0.994751	0.000884
2460443.528244	0.994635	0.000888
2460443.529898	0.994222	0.000885
2460443.531551	0.993399	0.000889
2460443.532653	0.996188	0.000884
2460443.534031	0.994203	0.000888
2460443.535409	0.996244	0.000889
2460443.536512	0.994850	0.000889
2460443.537614	0.994160	0.000887
2460443.538717	0.995780	0.000886
2460443.539819	0.994631	0.000889
2460443.541197	0.996319	0.000890
2460443.543126	0.996546	0.000887
2460443.544228	0.993920	0.000889
2460443.545330	0.995842	0.000891
2460443.546433	0.994216	0.000895
2460443.547535	0.995613	0.000888
2460443.548638	0.997028	0.000888
2460443.549741	0.997489	0.000893
2460443.550843	0.997339	0.000896
2460443.551945	0.998307	0.000900
2460443.553047	0.996943	0.000893
2460443.554149	0.998491	0.000898
2460443.555251	0.999954	0.000901
2460443.557181	0.998896	0.000911
2460443.561038	1.001935	0.000911
2460443.562967	0.999027	0.000908
2460443.564345	0.998959	0.000906
2460443.566274	0.998964	0.000928
2460443.569030	1.001617	0.000926
2460443.575093	0.998834	0.000913
2460443.577849	0.999222	0.000909
2460443.579227	1.000306	0.000918
2460443.580605	1.000201	0.000917
2460443.581707	0.999126	0.000908
2460443.582809	0.999850	0.000919
2460443.584464	0.999944	0.000911
2460443.585566	0.999774	0.000912
2460443.587772	0.999815	0.000906
2460443.588874	1.000496	0.000910
2460443.589977	1.000904	0.000909
2460443.591079	1.001316	0.000917
2460443.592733	0.999648	0.000915
