# VarAstro Metadata Begin
# ObservationId: 98430
# StarName: TrES-3
# RA: 17h 52m 07.00s (268.0291666567)
# DE: +37° 32' 46.00" (37.5461111108)
# ObserverName: Yves Jongen
# Station: Rasteau Observatory
# Latitude: 44
# Longitude: 5
# Instrument: Plane Wave CDK 17" on Plane Wave L500 mountSBIG STXL 11002
# Filter: IR-UV
# JD: GJD
# Unit: Mag
# VarAstro Metadata End
JD V-C s1
Aperture: 7, Filter: IR-UV, JD: geocentric
2460616.2202899 -0.10275 0.00381
2460616.2217436 -0.10774 0.00331
2460616.2232362 -0.10282 0.00283
2460616.2246897 -0.10945 0.00241
2460616.2276736 -0.10251 0.00193
2460616.2291307 -0.10767 0.00174
2460616.2305838 -0.10818 0.00159
2460616.2320373 -0.10720 0.00151
2460616.2334904 -0.10364 0.00139
2460616.2349442 -0.10891 0.00132
2460616.2363978 -0.10717 0.00126
2460616.2378513 -0.10671 0.00123
2460616.2393042 -0.10766 0.00122
2460616.2407576 -0.10513 0.00120
2460616.2422106 -0.10382 0.00119
2460616.2436641 -0.09866 0.00116
2460616.2451175 -0.10318 0.00116
2460616.2465709 -0.09708 0.00117
2460616.2480628 -0.09801 0.00117
2460616.2495161 -0.09225 0.00117
2460616.2509697 -0.09182 0.00115
2460616.2524618 -0.08892 0.00116
2460616.2539149 -0.08825 0.00117
2460616.2553679 -0.08899 0.00117
2460616.2568593 -0.08159 0.00118
2460616.2598043 -0.08105 0.00118
2460616.2612578 -0.07948 0.00115
2460616.2627112 -0.08473 0.00117
2460616.2641648 -0.07756 0.00118
2460616.2656181 -0.07594 0.00119
2460616.2670714 -0.08237 0.00121
2460616.2685248 -0.07830 0.00117
2460616.2699814 -0.08113 0.00119
2460616.2714740 -0.08226 0.00121
2460616.2729315 -0.08182 0.00119
2460616.2758762 -0.08022 0.00121
2460616.2773299 -0.08033 0.00122
2460616.2787830 -0.08325 0.00122
2460616.2802753 -0.08650 0.00120
2460616.2817287 -0.08453 0.00123
2460616.2831821 -0.08566 0.00123
2460616.2846351 -0.08830 0.00123
2460616.2860881 -0.09081 0.00120
2460616.2875413 -0.09225 0.00125
2460616.2889940 -0.09951 0.00122
2460616.2904859 -0.10007 0.00126
2460616.2919781 -0.09876 0.00126
2460616.2934701 -0.10427 0.00121
2460616.2949270 -0.10275 0.00124
2460616.2963803 -0.10011 0.00127
2460616.2978690 -0.10259 0.00129
2460616.2993612 -0.10484 0.00126
2460616.3008142 -0.10505 0.00126
2460616.3023066 -0.10659 0.00126
2460616.3037603 -0.09802 0.00129
2460616.3052527 -0.10089 0.00131
2460616.3067061 -0.10347 0.00128
2460616.3081596 -0.09939 0.00128
2460616.3111050 -0.09930 0.00130
2460616.3125938 -0.10179 0.00131
2460616.3140471 -0.10023 0.00132
2460616.3155003 -0.10556 0.00127
2460616.3169536 -0.09664 0.00129
2460616.3184066 -0.10303 0.00128
2460616.3199023 -0.09841 0.00130
2460616.3213557 -0.10402 0.00126
2460616.3228093 -0.10048 0.00133
2460616.3242628 -0.10617 0.00136
2460616.3257550 -0.10614 0.00132
2460616.3272083 -0.09894 0.00132
2460616.3286617 -0.10255 0.00137
2460616.3301146 -0.10074 0.00135
2460616.3315679 -0.09903 0.00136
2460616.3330215 -0.09943 0.00134
2460616.3345140 -0.10035 0.00138
2460616.3359677 -0.10471 0.00132
2460616.3388741 -0.10554 0.00136
