# VarAstro Metadata Begin
# ObservationId: 93483
# StarName: WASP-43
# RA: 10h 19m 38.01s (154.9083749900)
# DE: -09° 48' 21.90" (-9.8060833333)
# ObserverName: Eduardo Fernández-Lajús, Romina P. Di Sisto
# Station: Complejo Astronómico El Leoncito, Argentina
# Latitude: -32
# Longitude: 290
# Instrument: 2.15 m Telescope +  Versarray 2048B CCD (Roper Scientific)
# Filter: V
# JD: HJD
# Unit: Mag
# VarAstro Metadata End
# Eduardo Fernandez-Lajus
# eflajus@fcaglp.unlp.edu.ar
#HJD            dMag   Err    Fil
2460378.76273 -0.3055 0.0017 V 
2460378.76322 -0.3025 0.0017 V 
2460378.76347 -0.3048 0.0017 V 
2460378.76395 -0.3001 0.0017 V 
2460378.76419 -0.3024 0.0017 V 
2460378.76444 -0.2998 0.0017 V 
2460378.76468 -0.3003 0.0017 V 
2460378.76492 -0.3037 0.0017 V 
2460378.76516 -0.3029 0.0017 V 
2460378.76541 -0.3035 0.0017 V 
2460378.76565 -0.3058 0.0017 V 
2460378.76589 -0.2992 0.0017 V 
2460378.76613 -0.3042 0.0017 V 
2460378.76662 -0.3017 0.0017 V 
2460378.76697 -0.3037 0.0017 V 
2460378.76733 -0.3026 0.0017 V 
2460378.76781 -0.3001 0.0017 V 
2460378.76806 -0.3057 0.0017 V 
2460378.76830 -0.3014 0.0017 V 
2460378.76878 -0.3036 0.0017 V 
2460378.76952 -0.3016 0.0017 V 
2460378.76976 -0.3015 0.0017 V 
2460378.77001 -0.3006 0.0017 V 
2460378.77074 -0.3009 0.0017 V 
2460378.77098 -0.3057 0.0017 V 
2460378.77146 -0.3007 0.0017 V 
2460378.77195 -0.2995 0.0017 V 
2460378.77219 -0.3017 0.0017 V 
2460378.77316 -0.3039 0.0017 V 
2460378.77341 -0.2999 0.0017 V 
2460378.77389 -0.3053 0.0017 V 
2460378.77413 -0.3055 0.0017 V 
2460378.77438 -0.3060 0.0017 V 
2460378.77462 -0.3015 0.0017 V 
2460378.77487 -0.3056 0.0017 V 
2460378.77511 -0.3030 0.0017 V 
2460378.77559 -0.3062 0.0017 V 
2460378.77584 -0.3014 0.0017 V 
2460378.77633 -0.3024 0.0017 V 
2460378.77657 -0.3004 0.0017 V 
2460378.77682 -0.3015 0.0017 V 
2460378.77706 -0.3029 0.0017 V 
2460378.77755 -0.3011 0.0017 V 
2460378.77779 -0.2983 0.0017 V 
2460378.77803 -0.2963 0.0017 V 
2460378.77827 -0.2937 0.0017 V 
2460378.77876 -0.2975 0.0018 V 
2460378.77901 -0.2936 0.0018 V 
2460378.77925 -0.2925 0.0018 V 
2460378.78046 -0.2983 0.0018 V 
