# VarAstro Metadata Begin
# ObservationId: 108351
# StarName: XO-1
# RA: 16h 02m 12.00s (240.5500041617)
# DE: +28° 10' 11.00" (28.1697224993)
# ObserverName: Manfred Raetz
# Station: Privatsternwarte Herges-Hallenberg
# Latitude: 51
# Longitude: 11
# Instrument: SCT 280 / 1870 (C11 with Starizona reducer) CCD: MII G2-1600 filter : Astrodon ExoPlanet-BB (V to IR)
# Filter: V to IR
# JD: GJD
# Unit: Flux
# VarAstro Metadata End
#JD_UTC_B	rel_flux_T1_fn	rel_flux_err_T1_fn
2460773.449630	0.998522	0.001037
2460773.451049	1.000085	0.001036
2460773.452468	0.999150	0.001037
2460773.453888	1.001309	0.001037
2460773.455307	0.998951	0.001030
2460773.456726	0.996989	0.001026
2460773.458145	0.998986	0.001028
2460773.459564	1.001218	0.001031
2460773.460983	0.999836	0.001030
2460773.462402	1.000388	0.001027
2460773.465240	0.998868	0.001026
2460773.466659	0.999147	0.001024
2460773.468078	1.000700	0.001021
2460773.469497	0.998273	0.001023
2460773.470917	0.999588	0.001019
2460773.472336	0.998426	0.001019
2460773.473754	0.999102	0.001023
2460773.475174	0.998318	0.001023
2460773.476593	0.999906	0.001019
2460773.478010	0.998653	0.001020
2460773.479429	0.997153	0.001023
2460773.480849	0.998902	0.001017
2460773.482268	0.999610	0.001024
2460773.483687	1.000236	0.001019
2460773.485106	0.999922	0.001015
2460773.487944	0.997769	0.001017
2460773.489363	1.000478	0.001017
2460773.490783	1.000120	0.001012
2460773.492202	0.997981	0.001011
2460773.493620	0.997026	0.001011
2460773.495039	0.995901	0.001013
2460773.496458	0.996342	0.001010
2460773.497878	0.994340	0.001011
2460773.499297	0.992230	0.001021
2460773.500715	0.989859	0.001014
2460773.502135	0.990637	0.001018
2460773.503554	0.986098	0.001013
2460773.504973	0.983387	0.001010
2460773.506392	0.985474	0.001017
2460773.507811	0.983308	0.001010
2460773.509230	0.983366	0.001005
2460773.510649	0.981367	0.001003
2460773.512068	0.982921	0.001001
2460773.513487	0.981693	0.000999
2460773.514906	0.983104	0.001002
2460773.516326	0.980721	0.001000
2460773.517745	0.981954	0.000997
2460773.519164	0.980426	0.000999
2460773.520583	0.981714	0.000995
2460773.522002	0.980756	0.000998
2460773.523421	0.980686	0.001002
2460773.524840	0.981175	0.001001
2460773.526259	0.981535	0.001002
2460773.527678	0.982066	0.001010
2460773.529097	0.980645	0.000997
2460773.530516	0.981830	0.000998
2460773.531936	0.979456	0.000993
2460773.533355	0.980191	0.000995
2460773.534774	0.981048	0.000995
2460773.536193	0.978216	0.000992
2460773.537612	0.979702	0.000988
2460773.539031	0.980154	0.000990
2460773.540450	0.980775	0.000991
2460773.541869	0.979338	0.000991
2460773.543288	0.980113	0.000990
2460773.544707	0.980730	0.000993
2460773.546126	0.979023	0.000988
2460773.547545	0.980041	0.000987
2460773.548964	0.979235	0.000988
2460773.550383	0.979968	0.000987
2460773.551802	0.978187	0.000985
2460773.553221	0.979985	0.000987
2460773.554640	0.980045	0.000984
2460773.556060	0.979582	0.000985
2460773.557478	0.981146	0.000985
2460773.558898	0.981030	0.000987
2460773.560317	0.980082	0.000985
2460773.561736	0.978431	0.000983
2460773.563155	0.982321	0.000985
2460773.564573	0.980210	0.000983
2460773.565993	0.979489	0.000987
2460773.567412	0.980100	0.000984
2460773.568831	0.979139	0.000991
2460773.570250	0.979877	0.000991
2460773.571669	0.978792	0.000988
2460773.573089	0.980967	0.000984
2460773.574508	0.979738	0.000983
2460773.575926	0.981012	0.000986
2460773.577346	0.982379	0.000988
2460773.578765	0.981449	0.000987
2460773.580184	0.979327	0.000987
2460773.581603	0.982920	0.000986
2460773.583022	0.981419	0.000986
2460773.584441	0.982079	0.000982
2460773.585860	0.982123	0.000981
2460773.587279	0.982497	0.000978
2460773.588698	0.980725	0.000979
2460773.590117	0.982403	0.000980
2460773.591536	0.982352	0.000981
2460773.592955	0.982446	0.000986
2460773.594374	0.984228	0.000989
2460773.595793	0.983348	0.000984
2460773.597212	0.984136	0.000990
2460773.598632	0.985834	0.000992
2460773.600050	0.986186	0.000990
2460773.601470	0.988424	0.000989
2460773.602889	0.990178	0.000991
2460773.604308	0.991684	0.000989
2460773.605727	0.994439	0.000989
2460773.607146	0.995897	0.000991
2460773.608565	0.998473	0.000988
2460773.609984	0.997446	0.000990
2460773.611403	1.001565	0.000994
2460773.612823	1.002830	0.000997
2460773.614242	1.001010	0.000997
2460773.615661	0.999870	0.000997
2460773.617080	1.002452	0.000995
2460773.618499	0.999141	0.000994
2460773.619918	1.002500	0.001001
2460773.621337	1.000476	0.000997
2460773.622756	1.000094	0.000995
2460773.624175	0.999816	0.000995
2460773.625594	1.000257	0.000998
2460773.627013	1.002016	0.001002
2460773.628432	1.001663	0.001000
2460773.629851	1.000662	0.000996
2460773.631270	1.001324	0.000998
2460773.632689	1.000318	0.001002
2460773.634108	0.999772	0.001004
2460773.635527	1.000987	0.001012
2460773.636946	1.000618	0.001010
2460773.638365	1.001512	0.001017
2460773.639785	1.001413	0.001016
2460773.641204	1.000304	0.001021
2460773.642623	0.999155	0.001028
2460773.644042	1.000457	0.001044
